Time;Video4_EmbryoA;Video6_EmbryoB;Video9_EmbryoC;Video10_EmbryoD;Video11_EmbryoE;Video17_EmbryoF;Video18_EmbryoG;Video19_EmbryoH;Video20_EmbryoI;Video221_EmbryoJ1;Video231_EmbryoK1;Video15_EmbryoL;Video16_EmbryoM;Video222_EmbryoJ2;Video232_EmbryoK2
6.05;0.838100275;0.718039357;0.657957122;0.731501846;0.835769327;0.801964605;0.930278942;0.770373615;0.696128014;0.685358951;0.73139172;0.767360279;0.535193313;0.753981459;0.585081297
6.1;0.850895699;0.7148994;0.657373332;0.731296558;0.843942389;;0.923863225;0.769533156;0.70183761;0.685506513;0.718560286;0.76943306;0.53041668;0.752050328;0.590136882
6.15;0.844497987;0.724185873;0.665418088;0.734722315;0.856817848;;0.930278942;0.77941336;0.706430948;0.679976165;0.724976003;0.774676583;0.534079963;0.756913441;0.595230961
6.2;0.844497987;0.717972658;0.675457995;0.735030248;0.844519764;;0.936694658;0.768827427;0.801915916;0.685814467;0.73139172;0.773845418;0.68000073;0.75985184;0.587127911
6.25;0.838100275;0.722923734;0.673507751;0.734298907;0.853552472;;0.917447508;0.76921237;0.805174876;0.680309782;0.73139172;0.775846371;0.682355698;0.752031081;0.595192467
6.3;0.844497987;0.718613989;0.669600848;0.733458506;0.846579067;;0.930278942;0.763399731;0.811134667;0.685083075;0.724976003;0.784296549;0.67603987;0.758876651;0.591965361
6.35;0.857293411;0.720461023;0.665418088;0.733740778;0.846431516;;0.923927382;0.769366348;0.811949407;0.685654074;0.73139172;0.781967234;0.6803137;0.75104306;0.598015382
6.4;0.844497987;0.718029095;0.671191837;0.730725598;0.85151883;;0.936694658;0.772664026;0.802882052;0.694899122;0.737807436;0.781967234;0.679405575;0.752999854;0.600286546
6.45;0.978849939;0.723026347;0.672744333;0.733189064;0.858768092;;0.923863225;0.764426246;0.802997535;0.806769977;0.75063887;0.781905666;0.67730714;0.748123909;0.774267955
6.5;0.978849939;0.724185873;0.662858393;0.732983775;0.85686917;;0.943174532;0.776628939;;0.806923954;0.744223153;0.778991458;0.678610325;0.751049476;0.777090871
6.55;0.991645363;0.723426537;0.772585274;0.740194545;0.857356731;;0.930278942;0.774473258;;0.812704515;0.737807436;0.780068894;0.681996553;0.745179095;0.777360331
6.6;0.978849939;0.710030415;0.767055306;0.742305171;0.850004825;;0.930278942;0.769366348;;0.810163891;0.73139172;0.779155639;0.678456405;0.75300627;0.78554037
6.65;0.972452227;0.710651223;0.774740807;0.735780835;0.860981362;;0.923863225;0.777289758;;0.806769977;0.75063887;0.780469085;0.678266571;0.746147868;0.777636207
6.7;0.972452227;0.727254001;0.772585274;0.739110364;0.857895614;;0.930278942;0.776481378;;0.814558657;0.737807436;0.778298821;0.674449369;0.748143156;0.777700364
6.75;0.985247651;0.714878877;0.781393448;0.87942528;0.862347816;;0.923863225;0.776782916;;0.81489869;0.737807436;0.780233075;0.673412978;0.751049476;0.785123348
6.8;0.985247651;0.724185873;0.786583406;0.888381006;0.881798933;;0.936694658;0.778957844;;0.809965004;0.75063887;0.770859381;0.681883678;0.755052883;0.788555757
